id,eng_title,rom_title,status,start_date,scored_10_count,scored_20_count,scored_30_count,scored_40_count,scored_50_count,scored_60_count,scored_70_count,scored_80_count,scored_90_count,scored_100_count,status_CURRENT_count,status_PLANNING_count,status_COMPLETED_count,status_DROPPED_count,status_PAUSED_count,favorites,source,Romance,country,School,Shoujo,Bullying,Female Protagonist,Archery,Heterosexual,end_date,Total_Main_Roles,Total_Supporting_Roles,Female_Supporting_Roles,Action,Horror,Supernatural,Vampire,Werewolf,Male Protagonist,Primarily Male Cast,Guns,Shounen,Foreign,Historical,War,relation_ADAPTATION,relationmedia_ANIME,relation_SEQUEL,relationmedia_MANGA,Fantasy,Slice of Life,Monster Girl,Centaur,Primarily Female Cast,Politics,Seinen,Satire,Kemonomimi,Terrorism,Nekomimi,Youkai,LGBTQ+ Themes,Yuri,Mythology,Aliens,Gore,Slavery,Nudity,Shrine Maiden,Urban Fantasy,Cute Girls Doing Cute Things,Female_Main_Roles,Comedy,Drama,Gyaru,Reincarnation,Magic,Dragons,Time Skip,Full Color,Sci-Fi,Crossdressing,Super Power,Gender Bending,Post-Apocalyptic,Time Manipulation,Robots,relation_SIDE_STORY,relation_PREQUEL,Afterlife,Swordplay,Ghost,relation_ALTERNATIVE,Total_Background_Roles,Boys' Love,Primarily Teen Cast,Tsundere,Love Triangle,Adventure,Mystery,Alchemy,relation_PARENT,Adoption,Hikikomori,relation_OTHER,Music,Josei,Primarily Adult Cast,Work,Musical,Cult,Detective,Food,Outdoor,Age Gap,Educational,relation_CHARACTER,Anthology,Iyashikei,Kuudere,Marriage,Primarily Child Cast,Suicide,Teacher,4-koma,Achronological Order,Chibi,Delinquents,Virtual World,Video Games,Age Regression,Necromancy,Disability,Elf,Episodic,relation_SPIN_OFF,Coming of Age,Demons,Yandere,Religion,Monster Boy,Tragedy,Twins,Shapeshifting,Maids,Arranged Marriage,Estranged Family,Found Family,Travel,Male Harem,Isekai,Otaku Culture,Gods,Female Harem,Ecchi,Martial Arts,Crossover,Alternate Universe,Artificial Intelligence,Tanned Skin,Skeleton,Autobiographical,Language Barrier,Slapstick,Surreal Comedy,Psychological,Writing,Samurai,Anthropomorphism,Kaiju,Office Lady,Family Life,Anti-Hero,Witch,School Club,Ensemble Cast,Revenge,Mecha,Ninja,Henshin,Mermaid,Animals,Survival,Idol,Military,Tanks,Bisexual,Acting,Zombie,Urban,Mafia,Sports,Baseball,Amnesia,Fairy Tale,Body Horror,Meta,Medicine,Dancing,Assassins,Memory Manipulation,Motorcycles,Cosplay,Parody,Bar,Angels,Thriller,Photography,Tomboy,Crime,Prison,Oiran,Orphan,Aviation,Rural,Royal Affairs,Villainess,College,Conspiracy,Desert,Mahou Shoujo,Criminal Organization,Philosophy,Dissociative Identities,E-Sports,Polyamorous,Wuxia,Cannibalism,Butler,Fugitive,POV,Ojou-sama,No Dialogue,Fairy,Cosmic Horror,Drugs,Drawing,Clone,Goblin,Femboy,Super Robot,Space Opera,Tokusatsu,Lost Civilization,Transgender,Coastal,Wrestling,Dungeon,Football,Fashion,Espionage,Swimming,Succubus,Classic Literature,Anachronism,Body Swapping,Economics,Surfing,Death Game,Yakuza,Snowscape,Cultivation,Gangs,Superhero,Torture,Space,Astronomy,Environmental,Card Battle,Police,Makeup,Battle Royale,Gambling,Agriculture,Calligraphy,Asexual,Unrequited Love,Dystopian,Cars,Fishing,Band,Cute Boys Doing Cute Things,Office,Software Development,Real Robot,Athletics,Boarding School,Rehabilitation,Cyborg,Ships,Agender,Pirates,Boxing,Denpa,Tennis,Shogi,Volleyball,Konbini,Scuba Diving,Judo,Pandemic,Biographical,Chuunibyou,Basketball,Teens' Love,Steampunk,Vikings,Proxy Battle,Trains,Class Struggle,Cyberpunk,Mixed Gender Harem,Mountaineering,Mopeds,Noir,Mahjong,Homeless,VTuber,Kids,Cycling,Board Game,Primarily Animal Cast,Ice Skating,Golf,Fitness,Spearplay,Triads,Ero Guro,Nun,Augmented Reality,Veterinarian,Time Loop,Badminton,Dullahan,Non-fiction,Matriarchy,Fencing,Dinosaurs,Circus,Airsoft,Acrobatics,Poker,Filmmaking,Table Tennis,Kingdom Management,Inn,Chimera,Advertisement,Horticulture,Natural Disaster,Puppetry,Rakugo,Sumo,Go,American Football,Skateboarding,Cheerleading,Ancient China,Achromatic,CGI,Parkour,Firefighters,Karuta,Rugby,start_date_days,end_date_days
69731,,Pochama ni,FINISHED,2011-11-19,6.0,2.0,13.0,12.0,45,56,101,78,52,28,558,865,277,127,174,25,ORIGINAL,1.0,JP,50.0,50.0,20.0,20.0,20.0,20.0,2017-04-26,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22602,24587.0
30751,,HELLSING Gaiden: THE DAWN,CANCELLED,2001-06-15,7.0,5.0,16.0,38.0,89,133,190,125,62,27,126,825,953,22,76,19,ORIGINAL,,JP,,,,,,,2006-02-15,2.0,6.0,,1.0,1.0,1.0,79.0,79.0,79.0,79.0,60.0,40.0,20.0,20.0,20.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18793,20499.0
73449,A Centaur's Life,Centaur no Nayami,RELEASING,2010-12-18,4.0,4.0,13.0,14.0,30,58,76,96,62,14,658,917,23,178,226,36,,,JP,,,,80.0,45.0,,,3.0,5.0,,,,1.0,,,,,,,,,53.0,1.0,1.0,,,1.0,1.0,95.0,95.0,85.0,83.0,79.0,76.0,75.0,60.0,53.0,53.0,46.0,42.0,40.0,40.0,33.0,28.0,26.0,20.0,20.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22266,
103058,,Itou-kun wa Koi wo Shiranai.,FINISHED,2016-12-08,4.0,2.0,13.0,14.0,54,126,238,149,80,40,385,487,999,72,60,34,ORIGINAL,1.0,JP,20.0,20.0,,,,20.0,2019-03-14,,,,,,,,,79.0,,,,,,,,,,,,1.0,,,,,,,,,,50.0,,,,,,,,,,,,1.0,1.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24448,25274.0
122948,The Heroine of Drayfox,Han Juljja-ri Yeongaeyeosseul Teo,RELEASING,2020-05-23,9.0,5.0,7.0,12.0,41,45,68,72,61,20,1173,477,9,208,136,44,OTHER,1.0,KR,,,,20.0,,,,,,,,,,,,,,,,,20.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,79.0,70.0,40.0,40.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25710,
34612,,Needless,FINISHED,2003-10-18,4.0,1.0,12.0,15.0,39,66,137,139,99,61,172,941,747,68,76,47,ORIGINAL,,JP,,,,,,,2013-06-19,3.0,17.0,2.0,1.0,,,,,,,,,,,,1.0,1.0,1.0,3.0,,,,,,,79.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,79.0,79.0,75.0,60.0,20.0,20.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19648,23180.0
41330,,Bleach Short Story Edition,FINISHED,2006-02-03,11.0,10.0,37.0,45.0,174,266,257,91,43,46,35,363,1596,6,4,16,ORIGINAL,,JP,20.0,,,,,,2006-02-03,3.0,1.0,,1.0,,1.0,,,79.0,,,60.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,79.0,,2.0,,,,,,,,,,,20.0,,,,,,,79.0,60.0,60.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20487,20487.0
122581,Mask Danshi: This Shouldn't Lead to Love,Mask Danshi wa Koishitakunai no ni,RELEASING,2019-11-25,9.0,3.0,11.0,9.0,32,43,107,73,79,33,747,684,339,102,133,44,ORIGINAL,1.0,JP,66.0,,,,,,,2.0,,,,,,,,79.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,79.0,79.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25530,
34658,Fullmetal Alchemist,Hagane no Renkinjutsushi,FINISHED,2003-02-01,9.0,2.0,2.0,2.0,17,40,75,122,105,118,119,974,770,58,85,28,,,JP,,,,,,,2007-03-22,2.0,12.0,1.0,1.0,,,,,,,,,,50.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,79.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,20.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19389,20899.0
91260,,L FILE No. 15,FINISHED,2008-01-25,4.0,4.0,12.0,33.0,89,162,226,86,53,35,30,788,1176,5,7,15,,,JP,,,,,,,2008-01-25,1.0,1.0,,,,,,,60.0,,,60.0,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,60.0,60.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21208,21208.0
